0,1,2,3,4,5,6,7,8,9,10,11,12
5,2,0,0,0,1,0,0,0,0.5,0,0,0
5,2,0,0,0,1,0,0,0,0.5,0,0,0
10,1,0,0,1,1,0,0,0,0,0,0,0
10,1,0,0,1,1,0,0,0,0,0,0,0
9,2,0,1,13.5,0.5,0,0.5,0,0,0,0,0
9,2,0,1,13.5,0.5,0,0.5,0,0,0,0,0
8,8,0,0,16,4,0,1,0,0,0,0,0
10,3,0,0,8,2,0,0,0,1,0,0,0
12,4,0,0,10,1,0,1,0,0,0,0,0
21,5,0,0,7,5,0,2,0,0,0,0,0
9,7,1,0,16,8,2,0,2,0,0,0,0
22,3,1,0,13,5,0,0,0,0,1,4,0
16,6,0,0,8,13,0,0,1,0,0,4,0
5,6,1,0,8,6,0,0,0,0,0,1,0
13,10,1,0,20,9,0,1,1,0,0,2,0
13,10,1,0,20,9,0,1,1,0,0,2,0
87,111,1,5,69,25,1,2,2,3,0,0,0
115,136,5,3,59,32,3,1,0,1,0,0,0
193,217,22,8,92,48,5,1,4,0,3,1,0
187,330,48,6,180,122,3,2,8,0,4,5,0
203,435,93,23,233,210,32,10,2,4,15,11,0
250,535,123,35,432,432,26,5,5,9,6,4,0
265,545,115,39,525,700,30,17,7,27,10,11,0
201,527,181,88,1060,1225,59,21,5,37,7,16,5
227,470,215,204,1173,1473,60,30,5,74,12,27,10
260,446,217,232,1190,1543,91,53,6,74,14,22,10
155,364,140,135,1200,1335,135,34,5,72,7,22,0
192,336,89,60,883,1116,160,27,5,0,11,11,6
199,273,98,102,696,1001,168,46,0,69,11,5,5
195,159,76,36,439,780,176,38,6,0,6,6,3
99,98,38,34,374,628,146,21,7,20,5,5,0
37,84,45,33,298,566,51,14,10,10,5,5,5
37,66,26,26,180,456,77,6,0,10,5,10,5
13.66666667,28.33333333,11.66666667,20,131.3333333,270.6666667,29,3.333333333,1.666666667,6.333333333,0,1.666666667,4
13.66666667,28.33333333,11.66666667,20,131.3333333,270.6666667,29,3.333333333,1.666666667,6.333333333,0,1.666666667,4
13.66666667,28.33333333,11.66666667,20,131.3333333,270.6666667,29,3.333333333,1.666666667,6.333333333,0,1.666666667,4
3.5,5.25,0,6.25,29,44.5,5.5,0,1.25,0,0,1.25,3.5
3.5,5.25,0,6.25,29,44.5,5.5,0,1.25,0,0,1.25,3.5
3.5,5.25,0,6.25,29,44.5,5.5,0,1.25,0,0,1.25,3.5
3.5,5.25,0,6.25,29,44.5,5.5,0,1.25,0,0,1.25,3.5
4,2.5,0,1.25,3.5,4.25,2.5,0,0,0,0,0,1.25
4,2.5,0,1.25,3.5,4.25,2.5,0,0,0,0,0,1.25
4,2.5,0,1.25,3.5,4.25,2.5,0,0,0,0,0,1.25
4,2.5,0,1.25,3.5,4.25,2.5,0,0,0,0,0,1.25
3.5,2.25,0,0,4,1.25,0,1.25,0,0,0,0,0
3.5,2.25,0,0,4,1.25,0,1.25,0,0,0,0,0
3.5,2.25,0,0,4,1.25,0,1.25,0,0,0,0,0
3.5,2.25,0,0,4,1.25,0,1.25,0,0,0,0,0
3.5,5.5,0,0,4.5,2.5,2.5,0,0,0,0,2.5,0
3.5,5.5,0,0,4.5,2.5,2.5,0,0,0,0,2.5,0
0,5,0,0,5,2.5,0,0,0,0,0,0,0
0,5,0,0,5,2.5,0,0,0,0,0,0,0
15,8,0,0,10,6.5,0,0,0,2.5,2.5,0,0
15,8,0,0,10,6.5,0,0,0,2.5,2.5,0,0
33.5,12,0,0,12.5,5,2.5,0,0,0,2.5,0,0
33.5,12,0,0,12.5,5,2.5,0,0,0,2.5,0,0
24,13,0,0,5,5,0,0,0,0,5,0,0
42,10,0,5,21,10,0,5,0,0,5,0,0
42,13,0,5,24,10,0,5,0,0,5,0,0
43,57,0,5,25,13,5,5,0,5,13,0,0
48,66,0,1,40,19,1,1,0,0,5,0,0
48,66,2,1,45,20,1,1,0,0,4,0,0
42,90,0,4,41,42,3,0,0,5,28,0,1
42,90,0,4,41,42,3,0,0,5,28,0,1
47,239,10,0,130,92,0,5,1,5,22,1,2
83,249,0,1,164,156,2,6,2,3,22,1,3
205,341.5,91,4.5,486,464.5,6.5,3,1,1.5,12.5,1.5,0
205,341.5,91,4.5,486,464.5,6.5,3,1,1.5,12.5,1.5,0
395,428,88,12,879,855,25,14,11,7,11,2,0
670,390,85,13,1525,686,22,38,17,6,11,6,8
437,254,74,18,1055,721,43,12,17,8,6,8,14
546,226,78,43,859,677,65,34,21,11,2,5,19
626,182,0,52,672,851,86,32,17,13,6,5,5
480,176,77,32,582,941,101,32,21,21,3,3,3
408,134,41,0,550,1087,106,23,26,25,0,7,3
388,91,46,64,508,1028,127,30,13,65,6,6,5
525,91,34,62,422,740,87,26,19,49,5,8,4
467,69,21,34,325,624,88,25,5,58,4,5,1
124,64,56,45,294,446,94,32,12,29,0,1,0
63,85,35,37,268,350,103,24,3,47,5,2,8
97,87,32,30,215,270,77,34,3,26,2,4,9
54,82,18,36,215,239,41,19,3,34,1,1,1
24,81,24,13,132,206,81,20,1,17,0,1,1
54,82,19,36,215,239,41,19,3,34,1,1,1
27,60,0,16,121,153,28,3,3,7,4,3,1
22,58,24,15,119,107,16,6,0,8,2,1,0
11,42,21,8,82,97,25,3,0,5,3,3,1
15,50,16,5,62,75,7,1,1,9,2,1,1
15.5,39,12,4,51.75,32,7,1,0.25,8,1,0.75,3.25
15.5,39,12,4,51.75,32,7,1,0.25,8,1,0.75,3.25
15.5,39,12,4,51.75,32,7,1,0.25,8,1,0.75,3.25
15.5,39,12,4,51.75,32,7,1,0.25,8,1,0.75,3.25
5.8,9.8,2.4,0.6,6.4,5.8,1.6,0.2,0,0.6,1.2,0,1.6
5.8,9.8,2.4,0.6,6.4,5.8,1.6,0.2,0,0.6,1.2,0,1.6
5.8,9.8,2.4,0.6,6.4,5.8,1.6,0.2,0,0.6,1.2,0,1.6
5.8,9.8,2.4,0.6,6.4,5.8,1.6,0.2,0,0.6,1.2,0,1.6
5.8,9.8,2.4,0.6,6.4,5.8,1.6,0.2,0,0.6,1.2,0,1.6
5.5,6.75,0.75,0.5,5.5,3.75,0.5,0,0,0.25,0.75,0,0.75
5.5,6.75,0.75,0.5,5.5,3.75,0.5,0,0,0.25,0.75,0,0.75
5.5,6.75,0.75,0.5,5.5,3.75,0.5,0,0,0.25,0.75,0,0.75
5.5,6.75,0.75,0.5,5.5,3.75,0.5,0,0,0.25,0.75,0,0.75
4,6,0,0,4,1,0,0,0,0,1,0,0
12.5,14,0,0,6.5,0.5,0.5,0,0,0,1.5,0,0.5
12.5,14,0,0,6.5,0.5,0.5,0,0,0,1.5,0,0.5
14.5,12.5,0,0,14,4,0,0,0,0,0,0,0
14.5,12.5,0,0,14,4,0,0,0,0,0,0,0
27,18.5,2,0,12,10.5,1,0,0,2,0.5,0,0
27,18.5,2,0,12,10.5,1,0,0,2,0.5,0,0
18,34,1,1,12,18,2,2,0,0,2,0,0
23,60,0,0,3,7,13,0,2,0,1,0,2
21,102,0,3,12,13,14,0,3,0,1,0,0
13,101,2,1,14,21,33,2,1,1,0,0,1
19,178,3,2,27,18,7,1,1,1,1,0,0
22,213,12,15,43,42,7,0,1,0,1,0,0
30,341,19,9,25,63,8,0,1,1,2,0,2
50,529,21,27,64,102,11,2,1,0,2,0,5
74,660,47,22,68,197,7,2,1,0,3,7,0
99,842,61,43,118,334,30,7,3,2,7,18,1
255,833,48.5,116,336,827.5,58.5,12.5,13,2.5,6,21.5,0.5
255,833,48.5,116,336,827.5,58.5,12.5,13,2.5,6,21.5,0.5
416,664,167,199,566,1807,95,31,24,108,5,13,1
655,300,139,264,865,1999,174,57,17,24,6,5,1
740,374,125,160,866,1895,153,53,32,11,12,17,6
341,283,136,103,780,2041,0,52,10,23,17,5,3
306,235,120,75,828,2350,0,54,20,54,19,3,2
303,237,134,60,854,2692,135,67,19,57,12,6,1
178,243,121,73,900,2741,167,47,16,83,3,4,3
198,182,0,78,799,2527,181,38,10,84,3,3,5
47,585,107,26,64,102,11,2,1,0,2,0,5
290,168,107,52,419,1597,190,59,17,63,2,2,0
1,3,1,0,1,0,0,1,0,0,0,0,0
1,3,1,0,1,0,0,1,0,0,0,0,0
1,3,1,0,1,0,0,1,0,0,0,0,0
1,3,1,0,1,0,0,1,0,0,0,0,0
1,3,1,0,1,0,0,1,0,0,0,0,0
1,3,1,0,1,0,0,1,0,0,0,0,0
1,3,1,0,1,0,0,1,0,0,0,0,0
1,3,1,0,1,0,0,1,0,0,0,0,0
1,3,1,0,1,0,0,1,0,0,0,0,0
1,3,1,0,1,0,0,1,0,0,0,0,0
0.2,0.6,0.2,0,0.2,0,0,0.2,0,0,0,0,0
0.2,0.6,0.2,0,0.2,0,0,0.2,0,0,0,0,0
0.2,0.6,0.2,0,0.2,0,0,0.2,0,0,0,0,0
0.2,0.6,0.2,0,0.2,0,0,0.2,0,0,0,0,0
0.2,0.6,0.2,0,0.2,0,0,0.2,0,0,0,0,0
0.25,0.75,0.25,0,0.25,0,0,0.25,0,0,0,0,0
0.25,0.75,0.25,0,0.25,0,0,0.25,0,0,0,0,0
0.25,0.75,0.25,0,0.25,0,0,0.25,0,0,0,0,0
0.25,0.75,0.25,0,0.25,0,0,0.25,0,0,0,0,0
1.4,1.4,0.6,0,3,2.2,0,0.4,0,0.2,0,0,0
1.4,1.4,0.6,0,3,2.2,0,0.4,0,0.2,0,0,0
1.4,1.4,0.6,0,3,2.2,0,0.4,0,0.2,0,0,0
1.4,1.4,0.6,0,3,2.2,0,0.4,0,0.2,0,0,0
1.4,1.4,0.6,0,3,2.2,0,0.4,0,0.2,0,0,0
1.5,3.5,0,0,6.5,1,0,0,0,0,0,0,0
1.5,3.5,0,0,6.5,1,0,0,0,0,0,0,0
2,2.5,2,0,3,0.5,0,0,0,0,0,0,0
2,2.5,2,0,3,0.5,0,0,0,0,0,0,0
5,15,0,1,0.5,1.5,0.5,0,0,0,0,0,0
5,15,0,1,0.5,1.5,0.5,0,0,0,0,0,0
4,26,0,3,6,9,1,0,0,1,0,0,0
15,51,0,11,11,9,0,1,0,0,0,0,0
22,124,15,14,14,19,1,0,1,0,0,0,0
18,229,19,14,18,35,1,1,0,1,0,0,0
9,372,32,16,39,48,0,2,1,1,0,0,1
20,452,0,18,26,73,1,1,1,1,0,4,1
51,542,96,25,32,138,7,1,1,0,0,5,1
94,551,109,74,72,253,13,3,0,0,0,17,1
155,511,175,78,95,395,44,3,2,4,1,37,0
200,518,162,129,135,584,89,5,1,17,3,26,0
393,371.5,13.5,119.5,289.5,969.5,195.5,7,7,24.5,2.5,11.5,0.5
393,371.5,13.5,119.5,289.5,969.5,195.5,7,7,24.5,2.5,11.5,0.5
408,229,0,122,447,1644,211,21,17,34,14,5,1
98,150,26,89,415,1366,267,33,20,21,0,0,1
302,95,31,60,426,1076,214,18,32,52,6,1,0
329,78,16,30,443,1043,181,28,41,26,11,1,0
237,79,10,25,390,962,176,32,20,38,7,0,2
169,59,11,27,364,836,125,41,21,0,6,2,2
200,69,7,11,319,744,110,59,11,26,5,0,1
305,82,0,12,272,609,136,78,2,32,5,1,1
419,85,14,20,275,629,129,64,11,40,3,3,0
472,130,11,101,177,628,100,101,11,56,2,3,1
549,139,17,12,239,516,126,57,17,46,0,3,0
561,181,25,14,241,449,144,79,14,79,0,3,0
537,199,25,20,194,458,150,40,12,97,7,4,0
0,179,20,18,223,467,123,44,8,149,11,1,0
409,168,0,22,235,446,92,30,8,97,3,2,0
130,162,0,17,177,362,94,22,2,53,4,1,0
104,143,21,30,158,318,95,17,5,30,10,1,0
63,117,4,23,94,217,61,8,1,15,5,1,0
64,116,8,17,74,250,49,3,0,9,1,1,0
54,105,7,25,70,161,36,1,1,4,0,0,0
11.6,44.8,0,7.8,25.6,54.4,15.2,1,0,1.4,3.2,0.4,0
11.6,44.8,0,7.8,25.6,54.4,15.2,1,0,1.4,3.2,0.4,0
11.6,44.8,0,7.8,25.6,54.4,15.2,1,0,1.4,3.2,0.4,0
11.6,44.8,0,7.8,25.6,54.4,15.2,1,0,1.4,3.2,0.4,0
11.6,44.8,0,7.8,25.6,54.4,15.2,1,0,1.4,3.2,0.4,0
18,9.5,0,0.75,5.5,7.25,0.25,0,0.25,2,1.5,0.25,0
18,9.5,0,0.75,5.5,7.25,0.25,0,0.25,2,1.5,0.25,0
18,9.5,0,0.75,5.5,7.25,0.25,0,0.25,2,1.5,0.25,0
18,9.5,0,0.75,5.5,7.25,0.25,0,0.25,2,1.5,0.25,0
9.8,4.2,0,0.2,5.2,3.2,0.2,0,0,0.2,0.6,0,0
9.8,4.2,0,0.2,5.2,3.2,0.2,0,0,0.2,0.6,0,0
9.8,4.2,0,0.2,5.2,3.2,0.2,0,0,0.2,0.6,0,0
9.8,4.2,0,0.2,5.2,3.2,0.2,0,0,0.2,0.6,0,0
9.8,4.2,0,0.2,5.2,3.2,0.2,0,0,0.2,0.6,0,0
5,6,0,0,7,7,2,0,0,0,1,0,0
5,6,0,0,7,7,2,0,0,0,1,0,0
13.5,6,1.5,1,4,4.5,0,0,0,0,0,0,0
13.5,6,1.5,1,4,4.5,0,0,0,0,0,0,0
17,10.5,2.5,0,4.5,3.5,0.5,0,0,0,3,0,0
17,10.5,2.5,0,4.5,3.5,0.5,0,0,0,3,0,0
29,12,6,2,3,23,0,1,0,0,0,0,0
13,20,3,3,3,36,1,1,0,1,1,0,0
27,19,6,7,10,26,0,0,0,0,1,1,0
18,36,5,14,9,19,0,0,0,3,1,3,0
12,80,10,12,6,24,3,0,1,0,0,0,0
30,101,3,10,37,40,3,1,1,8,0,1,0
17,116,31,14,35,91,1,0,1,6,0,0,0
19,195,22,37,55,192,5,0,2,0,0,0,0
53,204,0,42,158,261,6,0,0,7,1,0,0
101,384,36,51,126,546,15,1,1,2,2,3,0
500,1622,76,444,1731,4187,143,24,7,33,1,15,2
339,553,0,182,1080,1605,88,18,6,6,4,8,2
250,456,614,189,812,1533,92,9,3,18,5,10,3
370,532,0,198,756,1989,104,14,8,17,9,10,9
543,584,0,0,907,2225,190,37,26,31,4,21,7
490,490,0,207,683,2336,282,31,17,34,0,10,12
397,442,955,313,558,2073,211,27,37,0,7,22,14
395,337,0,145,466,1766,301,36,26,92,6,38,12
515,333,318,183,333,1615,305,30,0,78,3,20,14
709,386,0,168,541,1195,196,58,42,119,13,21,15
935,503,0,0,372,735,258,53,23,90,16,33,7
628,223,0,0,200,272,104,42,10,82,14,49,5
163,82,0,297,110,33,24,50,11,64,9,28,7
27,16,0,0,40,15,1,14,0,25,13,6,4
2,2.6,0,3.2,9.6,0.6,0.2,0.4,0,0.6,0,0.4,4
2,2.6,0,3.2,9.6,0.6,0.2,0.4,0,0.6,0,0.4,4
2,2.6,0,3.2,9.6,0.6,0.2,0.4,0,0.6,0,0.4,4
2,2.6,0,3.2,9.6,0.6,0.2,0.4,0,0.6,0,0.4,4
2,2.6,0,3.2,9.6,0.6,0.2,0.4,0,0.6,0,0.4,4
